nama_lengkap,nama_panggilan,tempat_tanggal_lahir,generasi,salam_perkenalan,,,,,
Adzana Shaliha Alifyaa,"Ashel, Acel","Jakarta, Indonesia, 8 Januari 2005 (18 tahun)",9,"Aku datang bagaikan embun pagi yang menyejukkan suasana hati, hai aku Ashel!",,,,,
Amanda Puspita Sukma Mulyadewi,"Amanda, Manda, Mandut","Malang, Jawa Timur, Indonesia, 17 Desember 2004 (19 tahun)",10,Brum brum! Melaju cepat bagai motor 1000cc! Aku si gadis penyuka motor. Halo semuanya aku Amanda.,,,,,
Angelina Christy,"Christy, Angel, Kitoy, Toya","Jakarta, Indonesia, 5 Desember 2005 (18 tahun)",7,"Peduli dan berbaik hati, siapakah dia? Chris.. (ty!) Halo semuanya aku Christy.",,,,,
Aurellia,"Lia, Oreli, Coach Lia","Jakarta, Indonesia, 29 Oktober 2002 (21 tahun)",10,Si social butterfly yang energik dan periang! Halo semuanya nama aku Lia!,,,,,
Azizi Shafaa Asadel,"Zee, Azizi, Zizoy, Zoya","Jakarta, Indonesia, 16 Mei 2004 (19 tahun)",7,Si gadis tomboi yang semangatnya meletup-letup! Panggil aku Zee!,,,,,
Callista Alifia Wardhana,"Callie, Keli","Jakarta, Indonesia, 8 Agustus 2005 (18 tahun)",10,"Si beruang madu, penyuka madu! Hai semuanya aku Callie!",,,,,
Cornelia Syafa Vanisa,Oniel,"Tangerang, Banten, Indonesia, 26 Juli 2002 (21 tahun)",8,Seperti teka-teki yang akan membuat kalian selalu penasaran denganku! Aku Oniel!,,,,,
Febriola Sinambela,"Olla, Olali, Febri","Jakarta, Indonesia, 26 Februari 2005 (18 tahun)",7,"Dengan keajaibanku aku akan membuat kalian semua selalu tertawa! Halo semuanya aku Olla, si mechanic girl!",,,,,
Feni Fitriyanti,"Feni, Mpen","Cianjur, Jawa Barat, Indonesia, 16 Januari 1999 (24 tahun)",3,"Matahari yang indah, yang akan memberikan kehangatan di setiap harinya. Halo aku Feni.",,,,,
Fiony Alveria Tantri,"Fiony, Pio, Ce Pio","Jakarta, Indonesia, 4 Februari 2002 (21 tahun)",8,"Seperti simfoni yang menenangkan hati, halo aku Fiony!",,,,,
Flora Shafiqa Riyadi,"Flora, Flo","Tangerang, Banten, Indonesia, 4 April 2005 (18 tahun)",8,"Mau ikut aku nggak? (Mau!) Ayo ikut ke dunia Flora! Simsalabim akan 'ku sulap hatimu menjadi berbunga-bunga! Halo semuanya, aku Flora!",,,,,
Freyanashifa Jayawardana,"Freya, Fre, Nurdana, Nunung","Tangerang, Banten, Indonesia, 13 Februari 2006 (17 tahun)",7,"Gadis koleris yang suka berimajinasi, terangi harimu dengan senyuman karamelku. Halo aku Freya!",,,,,
Gabriela Abigail Mewengkang,"Ella, Gaby, Ellay","Jakarta, Indonesia, 7 Agustus 2006 (17 tahun)",10,Ohayo! Konnichiwa! Oyasumi! Aku ingin ada di setiap harimu. Halo semuanya aku Ella.,,,,,
Gita Sekar Andarini,Gita,"Jakarta, Indonesia, 30 Juni 2001 (22 tahun)",6,Diam bukan berarti tak memperhatikanmu. Aku Gita.,,,,,
Helisma Mauludzunia Putri Kurnia,"Eli, Helisma, Ceu Eli","Bandung, Jawa Barat, Indonesia, 15 Juni 2000 (23 tahun)",7,"Aprikot aprikot aprikot aprikot, pang! Dengan energi kegembiraanku aku akan menghangatkan suasana. Halo halo aku Ceu Eli.",,,,,
Indah Cahya Nabilla,Indah,"Kota Jambi, Jambi, Indonesia, 20 Maret 2001 (22 tahun)",9,"Tak banyak bicara, bercerita melalui tulisan. Hai aku Indah.",,,,,
Indira Putri Seruni,"Indira, Dira","Bandung, Jawa Barat, Indonesia, 26 April 2004 (19 tahun)",10,"Watashi no kokoro unlock, akan menemani hari-harimu dengan sepenuh hati. Halo, aku Indira!",,,,,
Jessica Rich Chandra (???),"Jessi, Jeci","Jakarta, Indonesia, 23 September 2005 (18 tahun)",7,Suka menari dan akan selalu berusaha untuk menjadi sumber energimu. Perkenalkan aku Jessi.,,,,,
Jesslyn Elly Septiani,Lyn,"Jakarta, Indonesia, 13 September 2001 (22 tahun)",10,"Seperti ombak laut yang tenang, tiba-tiba aku akan menyapumu dengan banyak cinta. Halo semuanya, aku Lyn!",,,,,
Kathrina Irene Indarto Putri,"Kathrina, Kathrin, Atin, Bokem","Bekasi, Jawa Barat, Indonesia, 26 Juli 2006 (17 tahun)",9,Never miss a chance to be a star. Halo semua aku Kathrina.,,,,,
Lulu Azkiya Salsabila,"Lulu, Salsa","Serang, Banten, Indonesia, 23 Oktober 2002 (21 tahun)",8,"Terang seperti bulan, bersinar seperti bintang. Halo aku Lulu!",,,,,
Marsha Lenathea Lapian,"Marsha, Matcha, Anime, Maeng","Jakarta, Indonesia, 9 Januari 2006 (17 tahun)",9,"Seperti pizza yang selalu dinanti-nantikan semua orang, selalu nantikan aku ya! Halo aku Marsha!",,,,,
Mutiara Azzahra Umandana,"Muthe, Mumuchang","Jakarta, Indonesia, 12 Juli 2004 (19 tahun)",7,"Dengan kelincahanku, aku akan menari setiap hari! Panggil aku Mu-Mu-Mu-Mu-the!",,,,,
Raisha Syifa Wardhana,Raisha,"Tangerang, Banten, Indonesia, Indonesia, 11 November 2007 (16 tahun)",10,"Kalau sakura itu kembang, aku itu kembanggaanmu! You can call me Raisha.",,,,,
Reva Fidela Adel Pantjoro,"Adel, Dedel, Reva","Jakarta, Indonesia, 14 Juli 2006 (17 tahun)",8,Bagaikan kucing yang kalem tapi akan selalu memikat hati kamu! Halo semuanya aku Adel!,,,,,
Shani Indira Natio,Shani,"Kebumen, Jawa Tengah, Indonesia, 5 Oktober 1998 (25 tahun)",3,Semanis coklat selembut sutra. Halo aku Shani.,,,,,
Shania Gracia,"Gracia, Gre","Jakarta, Indonesia, 31 Agustus 1999 (24 tahun)",3,"Senyumku terekam jelas dalam ingatanmu seperti foto dengan sejuta warna. Namaku Gracia, always smile! Sekali lagi? (Gracia!)",,,,,
Yessica Tamara,"Chika, Yessica, Chikuy, Jambul","Jakarta, Indonesia, 24 September 2002 (21 tahun)",7,Memberikan kebahagiaan lewat gummy smile-ku. Halo semuanya aku Chika.,,,,,
Nama lengkap,Nama panggilan,Kelahiran (usia),Generasi,Salam perkenalan,Mulai dan durasi bergabung (di JKT48),Sub-unit,Nama fanbase,Akun media sosial[13],Ref.
Abigail Rachelie,Aralie,"Jakarta, Indonesia, 6 Agustus 2008 (15 tahun)",12,"Seperti bunga yang mekar, aku akan membuat kamu, kamu, dan kamu terbayang-bayang. Aku Ara-Aralie. Halo semuanya, nama aku Aralie ya!",18 November 2023 (41 hari),Belum pernah,Arariel,"IG: @jkt48.aralie
TT: @jkt48.aralie
X: @Aralie_JKT48",
