Timestamp,Sejak kapan Anda mengikuti JKT48 dan/atau menjadi fans JKT48? ,Gender,Usia,"Berdasarkan tempat tinggal Anda, manakah yang paling tepat mendeskripsikan Anda?",Apa status Anda saat ini?,Apakah Anda sudah pernah melakukan pembelian produk JKT48? ,Media sosial apa yang secara aktif Anda gunakan untuk menjalankan aktivitas sebagai fans JKT48 (idoling)?,Apa alasan yang men-trigger Anda untuk menjadi atau kembali menjadi fans JKT48 pasca-restrukturisasi? (Alasan menjadi fans JKT48),"Secara rata-rata, berapa uang yang Anda habiskan dalam sebulan untuk idoling?",Dari produk di bawah manakah yang pernah Anda beli?,"Dari pilihan di bawah ini, manakah sumber yang menginfluence Anda untuk menjadi Fans JKT48?",Jika Anda menjawab Streamer sebagai sumber awareness dan sumber influence Anda untuk menjadi fans JKT48. siapakah Streamer yang paling menginfluence Anda dan alasannya?,,,,,,,,,,,,,,,
12/29/2023 8:45:57,tahun 2021,Laki-Laki,20-25 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,Adanya sistem streaming baik teater maupun showroom member,< Rp 500.000,"Streaming Theater, Video Call with JKT48, Birthday T-shirt, Merchandise Lainnya",Twitter terkait JKT48,-,,,,,,,,,,,,,,,Sejak kapan Anda mengikuti JKT48 dan/atau menjadi fans JKT48? 
12/29/2023 8:46:34,tahun 2022,Laki-Laki,di atas 30 tahun,Fans far,Bekerja,Iya,Twitter,Lebih mudah mengikuti karena belum terlalu banyak,Rp 500.000 - 1.000.000,Streaming Theater,Konten Clip Theater JKT48,bukan streamer,,,,,,,,,,,,,,,Gender
12/29/2023 8:46:52,tahun 2021,Laki-Laki,20-25 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,Karena menemukan akun tiktok member di fyp dan akhirnya jadi oshi pertama yaitu Freya ,< Rp 500.000,"Streaming Theater, Video Call with JKT48, 2-Shot, Meet and Greet, Birthday T-shirt, Tiket Konser, Tiket event off-air atau on-air, Merchandise Lainnya",Konten Tiktok Terkait JKT48,Tidak ada,,,,,,,,,,,,,,,Usia
12/29/2023 8:47:19,tahun 2022,Laki-Laki,20-25 tahun,Fans far,Bekerja,Iya,Twitter,"Clipper Konser Heaven, Trend KFC, clip SR freya azizi christy",< Rp 500.000,Merchandise Lainnya,Konten Tiktok Terkait JKT48,tidak ada ,,,,,,,,,,,,,,,"Berdasarkan tempat tinggal Anda, manakah yang paling tepat mendeskripsikan Anda?"
12/29/2023 8:47:25,tahun 2022,Laki-Laki,15-20 tahun,Fans near,Pelajar/Mahasiswa,Iya,Twitter,setelah dikulik terntara seru,Rp 500.000 - 1.000.000,"Theater, Streaming Theater, Video Call with JKT48, 2-Shot, Birthday T-shirt, Tiket Konser, Tiket event off-air atau on-air, Merchandise Lainnya",Konten Clip Theater JKT48,-,,,,,,,,,,,,,,,Apa status Anda saat ini?
12/29/2023 8:48:14,tahun 2021,Laki-Laki,20-25 tahun,Fans far,Bekerja,Iya,Twitter,ingin menikmati tour ke kota asal saya ,Rp 500.000 - 1.000.000,"Streaming Theater, Meet and Greet, Birthday T-shirt, Tiket event off-air atau on-air, Merchandise Lainnya",Festival musik yang mengundang JKT48,-,,,,,,,,,,,,,,,Apakah Anda sudah pernah melakukan pembelian produk JKT48? 
12/29/2023 8:48:37,tahun 2022,Perempuan,15-20 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,penasaran,< Rp 500.000,"Streaming Theater, 2-Shot, Meet and Greet, Birthday T-shirt, Tiket Konser, Tiket event off-air atau on-air, Merchandise Lainnya",Konten Clip Theater JKT48,-,,,,,,,,,,,,,,,Media sosial apa yang secara aktif Anda gunakan untuk menjalankan aktivitas sebagai fans JKT48 (idoling)?
12/29/2023 8:49:34,tahun 2021,Laki-Laki,20-25 tahun,Fans near,Pelajar/Mahasiswa,Iya,Instagram,Kepo dengan sistem tim JKT48 tapi mengikuti JKT48 sejak sudah tidak ada sistem tim,Rp 500.000 - 1.000.000,"Theater, Streaming Theater, Video Call with JKT48, 2-Shot, Meet and Greet, Birthday T-shirt, Tiket Konser, Tiket event off-air atau on-air, Merchandise Lainnya",Konten Clip Theater JKT48,-,,,,,,,,,,,,,,,Apa alasan yang men-trigger Anda untuk menjadi atau kembali menjadi fans JKT48 pasca-restrukturisasi? (Alasan menjadi fans JKT48)
12/29/2023 8:50:27,tahun 2022,Laki-Laki,15-20 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,tertarik mengikuti kembali dan lebih dalam setelah boomingnya meme Freya ,< Rp 500.000,"Streaming Theater, Tiket event off-air atau on-air, Merchandise Lainnya",Konten Clip Theater JKT48,-,,,,,,,,,,,,,,,"Secara rata-rata, berapa uang yang Anda habiskan dalam sebulan untuk idoling?"
12/29/2023 8:50:44,tahun 2021,Laki-Laki,26-30 tahun,Fans far,Bekerja,Iya,Twitter,"Akses layanan streaming tersedia dan memudahkan buat fansfar, dan jg ditahun 2021 ada gembar gembor kasus yg heboh bgt *you know lah*",Rp 500.000 - 1.000.000,"Streaming Theater, Video Call with JKT48, 2-Shot, Meet and Greet",Konten Clip Theater JKT48,"Bukan penonton streamer, tp kalau diharuskan menjawab ya Rangga Pranendra.",,,,,,,,,,,,,,,Dari produk di bawah manakah yang pernah Anda beli?
12/29/2023 8:51:06,tahun 2023,Laki-Laki,15-20 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,-,< Rp 500.000,"Theater, Video Call with JKT48",Konten Tiktok Terkait JKT48,-,,,,,,,,,,,,,,,"Dari pilihan di bawah ini, manakah sumber yang menginfluence Anda untuk menjadi Fans JKT48?"
12/29/2023 8:52:12,tahun 2021,Laki-Laki,20-25 tahun,Fans far,Bekerja,Iya,Twitter,Dari yang awalnya nonton drama AKB48 hingga akhirnya kepo ke grupnya dan lanjut ke JKT48,< Rp 500.000,"Streaming Theater, Video Call with JKT48, Birthday T-shirt, Merchandise Lainnya",Konten Clip Theater JKT48,Tidak ada,,,,,,,,,,,,,,,Jika Anda menjawab Streamer sebagai sumber awareness dan sumber influence Anda untuk menjadi fans JKT48. siapakah Streamer yang paling menginfluence Anda dan alasannya?
12/29/2023 8:52:56,tahun 2021,Laki-Laki,20-25 tahun,Fans far,Bekerja,Iya,Twitter,Ingin berkontribusi menaikan jkt48 kembali agar tidak bubar dan atau berpikir ngidol sebelum jeketi bubar,< Rp 500.000,"Streaming Theater, Video Call with JKT48, 2-Shot, Meet and Greet, Birthday T-shirt, Tiket Konser, Tiket event off-air atau on-air, Merchandise Lainnya",Twitter terkait JKT48,"Saya rasa tidak ada streamer yang benar2 menginfluence, malah menurut saya sebaliknya, mereka mencari massa dengan membawa nama jeketi",,,,,,,,,,,,,,,
12/29/2023 8:53:16,tahun 2022,Perempuan,15-20 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,"Awalnya melihat konten tiktok zee, lalu tertarik dan berakhir mengoshikannya",< Rp 500.000,"Streaming Theater, Video Call with JKT48, 2-Shot, Meet and Greet, Birthday T-shirt, Tiket Konser, Tiket event off-air atau on-air, Merchandise Lainnya",Konten Tiktok Terkait JKT48,"Gatau, ga terlalu kenal para streamer",,,,,,,,,,,,,,,
12/29/2023 8:53:56,tahun 2022,Laki-Laki,20-25 tahun,Fans far,Bekerja,Iya,Twitter,diadakannya kembali JKT48 Tour ,< Rp 500.000,"Theater, Streaming Theater, 2-Shot, Meet and Greet, Birthday T-shirt, Tiket Konser, Tiket event off-air atau on-air, Merchandise Lainnya",JKT48 Tour 2022 & 2023,tidak ada,,,,,,,,,,,,,,,
12/29/2023 8:54:17,tahun 2022,Laki-Laki,20-25 tahun,Fans near,Bekerja,Iya,Twitter,Saya menemukan sosok oshi yang sudah grad di member generasi 10 sekarang,> Rp 2.000.000,"Theater, Streaming Theater, Video Call with JKT48, 2-Shot, Meet and Greet, Birthday T-shirt, Tiket Konser, Tiket event off-air atau on-air, Merchandise Lainnya",Festival musik yang mengundang JKT48,Tidak ada,,,,,,,,,,,,,,,
